municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/04/13 07:00:00;352;364,27;1011;1046,24;79603
Madrid-Salamanca                            ;2020/04/13 07:00:00;387;245,96;1202;763,95;79604
Madrid-Centro                               ;2020/04/13 07:00:00;314;220,77;838;589,19;79601
Madrid-Arganzuela                           ;2020/04/13 07:00:00;401;224,77;1161;650,78;79602
Madrid-Chamartín                            ;2020/04/13 07:00:00;430;292,75;1140;776,12;79605
Madrid-Tetuán                               ;2020/04/13 07:00:00;673;411,68;1616;988,51;79606
Madrid-Chamberí                             ;2020/04/13 07:00:00;388;261,31;1038;699,07;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/13 07:00:00;966;430,21;2227;991,81;79608
Madrid-Moncloa-Aravaca                      ;2020/04/13 07:00:00;285;224,61;871;686,45;79609
Madrid-Latina                               ;2020/04/13 07:00:00;674;270,06;1776;711,62;79610
Madrid-Carabanchel                          ;2020/04/13 07:00:00;584;237;1784;723,97;79611
Madrid-Usera                                ;2020/04/13 07:00:00;319;214,88;1041;701,24;79612
Madrid-Puente de Vallecas                   ;2020/04/13 07:00:00;791;309,3;2317;906,02;79613
Madrid-San Blas - Canillejas                ;2020/04/13 07:00:00;402;289,47;1167;840,32;79620
Madrid-Barajas                              ;2020/04/13 07:00:00;118;223,99;344;652,99;79621
Madrid-Moratalaz                            ;2020/04/13 07:00:00;398;303,45;1080;823,43;79614
Madrid-Ciudad Lineal                        ;2020/04/13 07:00:00;558;210,84;1473;556,57;79615
Madrid-Hortaleza                            ;2020/04/13 07:00:00;467;221,04;1406;665,48;79616
Madrid-Villaverde                           ;2020/04/13 07:00:00;314;197,43;1072;674,03;79617
Madrid-Villa de Vallecas                    ;2020/04/13 07:00:00;255;239,15;987;925,64;79618
Madrid-Vicálvaro                            ;2020/04/13 07:00:00;233;442,57;632;1200,45;79619
Pozuelo de Alarcón                          ;2020/04/13 07:00:00;98;110,99;409;463,19;1150
Alcorcón                                    ;2020/04/13 07:00:00;632;361,47;1256;718,37;72
Navalcarnero                                ;2020/04/13 07:00:00;35;123,99;117;414,47;967
San Agustín del Guadalix                    ;2020/04/13 07:00:00;27;185,4;43;295,27;1296
Las Rozas de Madrid                         ;2020/04/13 07:00:00;222;231,62;498;519,57;1277
Moraleja de Enmedio                         ;2020/04/13 07:00:00;6;112,02;20;373,41;894
Valdaracete                                 ;2020/04/13 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/13 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/13 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/13 07:00:00;;80,58;7;188,02;1104
Valdemorillo                                ;2020/04/13 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/13 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/13 07:00:00;22;176,1;51;408,23;1678
Villanueva de la Cañada                     ;2020/04/13 07:00:00;18;73,82;69;282,97;1760
Villanueva del Pardillo                     ;2020/04/13 07:00:00;12;71,05;60;355,26;1776
Nuevo Baztán                                ;2020/04/13 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/13 07:00:00;;0;7;829,38;1757
Villamanta                                  ;2020/04/13 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/13 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/13 07:00:00;;254,97;17;866,9;376
Puentes Viejas                              ;2020/04/13 07:00:00;;218,82;;437,64;9020
Aranjuez                                    ;2020/04/13 07:00:00;130;204,95;359;565,97;133
Cercedilla                                  ;2020/04/13 07:00:00;31;414,05;69;921,6;382
Santorcaz                                   ;2020/04/13 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/13 07:00:00;238;269,22;617;697,94;493
Morata de Tajuña                            ;2020/04/13 07:00:00;15;193,12;81;1042,87;915
Robregordo                                  ;2020/04/13 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/13 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/13 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/13 07:00:00;;143,47;11;394,55;936
Montejo de la Sierra                        ;2020/04/13 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/13 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/13 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/13 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/13 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/13 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/13 07:00:00;;168,82;6;337,65;284
Becerril de la Sierra                       ;2020/04/13 07:00:00;10;173,25;21;363,83;186
Fuenlabrada                                 ;2020/04/13 07:00:00;401;196,55;1156;566,63;587
Garganta de los Montes                      ;2020/04/13 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/13 07:00:00;52;97,83;174;327,36;1132
Alameda del Valle                           ;2020/04/13 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/13 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/13 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/13 07:00:00;12;121,54;33;334,24;40
Pelayos de la Presa                         ;2020/04/13 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/13 07:00:00;47;141,69;131;394,94;611
Griñón                                      ;2020/04/13 07:00:00;26;225,19;68;588,95;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/13 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/13 07:00:00;;165,78;30;994,69;88
Carabaña                                    ;2020/04/13 07:00:00;;171,62;11;629,29;357
Talamanca de Jarama                         ;2020/04/13 07:00:00;12;383,14;20;638,57;1454
Chapinería                                  ;2020/04/13 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/13 07:00:00;29;112,99;139;541,57;409
Ajalvir                                     ;2020/04/13 07:00:00;;105,35;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/13 07:00:00;22;124,19;62;349,99;1317
Gascones                                    ;2020/04/13 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/13 07:00:00;18;88,39;61;299,53;1322
Móstoles                                    ;2020/04/13 07:00:00;600;274,54;1427;652,95;920
Leganés                                     ;2020/04/13 07:00:00;1141;579,46;2467;1252,87;745
Braojos                                     ;2020/04/13 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/13 07:00:00;6;108,21;18;324,62;506
Algete                                      ;2020/04/13 07:00:00;42;189,15;79;355,78;91
Mejorada del Campo                          ;2020/04/13 07:00:00;66;269,32;150;612,09;843
Loeches                                     ;2020/04/13 07:00:00;20;288,56;47;678,11;758
Parla                                       ;2020/04/13 07:00:00;210;153,61;587;429,39;1065
Fuentidueña de Tajo                         ;2020/04/13 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/13 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/13 07:00:00;;124,53;8;996,26;1533
Anchuelo                                    ;2020/04/13 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/13 07:00:00;15;374,34;36;898,43;875
Soto del Real                               ;2020/04/13 07:00:00;22;224,58;48;490;1441
Valverde de Alcalá                          ;2020/04/13 07:00:00;;375,94;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/13 07:00:00;13;152,22;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/13 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/13 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/13 07:00:00;14;232,4;21;348,61;339
Valdeavero                                  ;2020/04/13 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/13 07:00:00;;146,84;;440,53;1739
Cobeña                                      ;2020/04/13 07:00:00;9;120,69;29;388,9;416
Fresnedillas de la Oliva                    ;2020/04/13 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/13 07:00:00;;196;12;470,4;1659
El Berrueco                                 ;2020/04/13 07:00:00;;778,82;7;1090,34;210
