municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2020/09/15 10:23:00;115;96,38;583;488,61;3092;2591,42;079603
Madrid-Salamanca;2020/09/15 10:23:00;113;77,34;826;565,35;3541;2423,62;079604
Madrid-Centro;2020/09/15 10:23:00;109;80,83;1012;750,47;3617;2682,28;079601
Madrid-Arganzuela;2020/09/15 10:23:00;150;97,53;862;560,46;4086;2656,65;079602
Madrid-Chamartín;2020/09/15 10:23:00;103;70,62;705;483,38;3508;2405,23;079605
Madrid-Tetuán;2020/09/15 10:23:00;87;55,06;1042;659,4;4574;2894,52;079606
Madrid-Chamberí;2020/09/15 10:23:00;79;56,68;408;292,73;2969;2130,16;079607
Madrid-Fuencarral-El Pardo;2020/09/15 10:23:00;71;28,87;1147;466,38;5766;2344,48;079608
Madrid-Moncloa-Aravaca;2020/09/15 10:23:00;66;55,27;574;480,66;2917;2442,66;079609
Madrid-Latina;2020/09/15 10:23:00;165;69,26;1011;424,4;6189;2598,04;079610
Madrid-Carabanchel;2020/09/15 10:23:00;514;203,08;2238;884,24;8840;3492,7;079611
Madrid-Usera;2020/09/15 10:23:00;361;258,34;1615;1155,71;5747;4112,61;079612
Madrid-Puente de Vallecas;2020/09/15 10:23:00;478;203,53;2914;1240,76;10834;4613,02;079613
Madrid-San Blas - Canillejas;2020/09/15 10:23:00;77;48,69;1189;751,86;4152;2625,49;079620
Madrid-Barajas;2020/09/15 10:23:00;17;34,73;323;659,92;1119;2286,24;079621
Madrid-Moratalaz;2020/09/15 10:23:00;122;129;598;632,34;2904;3070,74;079614
Madrid-Ciudad Lineal;2020/09/15 10:23:00;235;108,65;1895;876,16;6569;3037,21;079615
Madrid-Hortaleza;2020/09/15 10:23:00;40;21,26;828;439,99;4114;2186,12;079616
Madrid-Villaverde;2020/09/15 10:23:00;357;239,68;1724;1157,47;5697;3824,88;079617
Madrid-Villa de Vallecas;2020/09/15 10:23:00;97;87,89;769;696,78;3238;2933,9;079618
Madrid-Vicálvaro;2020/09/15 10:23:00;77;106,81;464;643,63;2059;2856,11;079619
Pozuelo de Alarcón;2020/09/15 10:23:00;19;21,99;398;460,53;1794;2075,86;1150
Alcorcón;2020/09/15 10:23:00;79;46,33;986;578,25;4250;2492,46;0072
Navalcarnero;2020/09/15 10:23:00;11;37,55;107;365,21;440;1501,81;0967
San Agustín del Guadalix;2020/09/15 10:23:00;8;59,8;73;545,63;257;1920,92;1296
Las Rozas de Madrid;2020/09/15 10:23:00;21;21,92;348;363,2;1639;1710,61;1277
Moraleja de Enmedio;2020/09/15 10:23:00;6;116,82;53;1031,93;105;2044,39;0894
Valdaracete;2020/09/15 10:23:00;;0;6;985,22;22;3612,48;1551
Pozuelo del Rey;2020/09/15 10:23:00;;0;;261,55;8;697,47;1163
Puebla de la Sierra;2020/09/15 10:23:00;;0;;0;;0;
Perales de Tajuña;2020/09/15 10:23:00;5;170,36;18;613,29;75;2555,37;1104
Valdemorillo;2020/09/15 10:23:00;5;39,94;45;359,48;188;1501,84;1603
Navalafuente;2020/09/15 10:23:00;;0;10;690,13;32;2208,42;0941
Velilla de San Antonio;2020/09/15 10:23:00;5;40,86;57;465,84;250;2043,15;1678
Villanueva de la Cañada;2020/09/15 10:23:00;9;41,97;57;265,8;314;1464,21;1760
Villanueva del Pardillo;2020/09/15 10:23:00;;11,64;59;343,42;275;1600,7;1776
Nuevo Baztán;2020/09/15 10:23:00;11;175,27;49;780,75;131;2087,32;1006
Villamantilla;2020/09/15 10:23:00;;0;;69,4;13;902,15;1757
Villamanta;2020/09/15 10:23:00;;0;6;234,83;31;1213,31;1744
Cabanillas de la Sierra;2020/09/15 10:23:00;;0;;529,1;24;3174,6;0297
Cenicientos;2020/09/15 10:23:00;;0;;147,57;59;2902,12;0376
Puentes Viejas;2020/09/15 10:23:00;;147,28;;294,55;5;736,38;9020
Aranjuez;2020/09/15 10:23:00;76;127,5;293;491,55;1153;1934,34;0133
