numero_registro;denominacion;plazas_autorizadas_numero;plazas_descripcion;tipologia;subtipo;sector;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_coor_x;direccion_coor_y;direccion_codigo_postal;contacto_telefono;entidad_denominacion;entidad_cif;entidad_naturaleza
C0003;CENTRO DE REHABILITACION LABORAL NUEVA VIDA;40;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;Personas con enfermedad mental crónica;079;Madrid;CALLE;01394;de Colomer;14;443644;4476188;28028;91355 26 80;ASOCIACION PSIQUIATRIA Y VIDA;G28727261;PRIVADA SIN ÁNIMO DE LUCRO
C0005;NTRA. SRA. DE FATIMA, RESIDENCIA DE PERSONAS MAYORES;96;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;061;Galapagar;CALLE;A0502;Procesiones;44;415078;4491976;28260;91 858 42 40;RESIDENCIA FATIMA, S.L.;B79025193;PRIVADA CON ÁNIMO DE LUCRO
C0007;SAN CAMILO, RESIDENCIA DE PERSONAS MAYORES;144;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;903;Tres Cantos;SECT;00008;Escultores;39;439492;4496185;28760;91 803 40 00;RR. CAMILOS-RESIDENCIA ASISTIDA SAN CAMILO;R2800714D;PRIVADA SIN ÁNIMO DE LUCRO
C0010;NUEVA EDAD, CENTRO DE DIA;60;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas mayores;079;Madrid;CALLE;09814;de Martínez Villergas;6;444737;4476780;28027;914 033 131/902 095 902;ASOCIACION SERVICIO INTEGRAL SECTORIAL PARA ANCIANOS (ASISPA);G28702504;PRIVADA SIN ÁNIMO DE LUCRO
C0018;MADRE MARAVILLAS, RESIDENCIA DE PERSONAS MAYORES;54;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;065;Getafe;PLAZA;A0384;de la Iglesia;1;444260;4463944;28909;91 684 70 85;CENTRO GERIATRICO MADRE MARAVILLAS, S.A.;A78679669;PRIVADA CON ÁNIMO DE LUCRO
C0020;MARIA INMACULADA COMEDOR BENEFICO;152;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas sin hogar;079;Madrid;PASEO;02508;del General Martínez Campos;18;440970;4476255;28010;914464739;CASA COMUNIDAD HIJAS DE LA CARIDAD SAN VICENTE DE PAUL;R7800339I;PRIVADA SIN ÁNIMO DE LUCRO
C0026;EL ENCUENTRO;40;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;01625;de Cyesa;13;444238;4475696;28017;91 3562897;ASOCIACION CLUB EL ENCUENTRO DE TERCERA EDAD;G78819737;PRIVADA SIN ÁNIMO DE LUCRO
C0034;PREVENCION Y REHABILITACION APRAMP, CENTRO DE DIA;20;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Mujer;079;Madrid;PLAZA;00370;del Ángel;14;440395;4473982;28012;914201708;ASOCIACION PARA ATENCION, PREVENCION Y REINSERCION DE LA MUJER PROSTITUIDA (APRAMP);G79414082;PRIVADA SIN ÁNIMO DE LUCRO
C0043;COMEDOR SAN FRANCISCO;32;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas sin hogar;079;Madrid;CALLE;10641;del General Asensio Cabanillas;23;439205;4477381;28003;915545642;PARROQUIA DE SAN BRUNO;R7800645I;PRIVADA SIN ÁNIMO DE LUCRO
C0044;EL CONCEJO, RESIDENCIA DE PERSONAS MAYORES;51;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;028;Bustarviejo;CALLE;00122;de Mariano García Pérez;1;440218;4523317;28720;918482078;ASOCIACION DE AMIGOS DE LA TERCERA EDAD EL CONCEJO DE BUSTARVIEJO;G28852101;PRIVADA SIN ÁNIMO DE LUCRO
